treatment,species,distribution,gender,age,round,position,order,rep,kd.t,rc.t
5C,PAN,lowland,M,10,A,1,1,MA1,5,17
5C,PAN,lowland,M,10,A,1,2,MA2,6,20
5C,PAN,lowland,M,10,A,1,3,MA3,7,18
5C,PAN,lowland,M,10,A,1,4,MA4,5,19
5C,PAN,lowland,M,10,A,1,5,MA5,7,18
5C,PAN,lowland,M,10,A,1,6,MA6,6,26
5C,PAN,lowland,M,10,A,1,7,MA7,7,18
5C,BIP,lowland,M,9,A,2,1,MA1,6,16
5C,BIP,lowland,M,9,A,2,2,MA2,5,29
5C,BIP,lowland,M,9,A,2,3,MA3,5,16
5C,BIP,lowland,M,9,A,2,4,MA4,5,17
5C,BIP,lowland,M,9,A,2,5,MA5,5,17
5C,BIP,lowland,M,9,A,2,6,MA6,5,17
5C,BIP,lowland,M,9,A,2,7,MA7,5,16
5C,bir,widespread,M,9,A,3,1,MA1,5,18
5C,bir,widespread,M,9,A,3,2,MA2,5,17
5C,bir,widespread,M,9,A,3,3,MA3,4,16
5C,bir,widespread,M,9,A,3,4,MA4,4,31
5C,bir,widespread,M,9,A,3,5,MA5,4,16
5C,bir,widespread,M,9,A,3,6,MA6,4,18
5C,bir,widespread,M,9,A,3,7,MA7,4,21
5C,PAL,highland,M,9,A,4,1,MA1,5,40
5C,PAL,highland,M,9,A,4,2,MA2,5,42
5C,PAL,highland,M,9,A,4,3,MA3,5,60
5C,PAL,highland,M,9,A,4,4,MA4,5,31
5C,PAL,highland,M,9,A,4,5,MA5,6,34
5C,PAL,highland,M,9,A,4,6,MA6,4,40
5C,PAL,highland,M,9,A,4,7,MA7,4,29
5C,SUL,widespread,M,9,A,5,1,MA1,7,19
5C,SUL,widespread,M,9,A,5,2,MA2,5,19
5C,SUL,widespread,M,9,A,5,3,MA3,5,27
5C,SUL,widespread,M,9,A,5,4,MA4,5,24
5C,SUL,widespread,M,9,A,5,5,MA5,5,26
5C,SUL,widespread,M,9,A,5,6,MA6,6,21
5C,SUL,widespread,M,9,A,5,7,MA7,5,23
5C,MEL,control,M,9,A,6,1,MA1,8,3
5C,MEL,control,M,9,A,6,2,MA2,15,3
5C,MEL,control,M,9,A,6,3,MA3,18,3
5C,MEL,control,M,9,A,6,4,MA4,11,3
5C,MEL,control,M,9,A,6,5,MA5,14,5
5C,MEL,control,M,9,A,6,6,MA6,14,5
5C,MEL,control,M,9,A,6,7,MA7,18,3
5C,SIM,lowland,M,9,A,7,1,MA1,8,11
5C,SIM,lowland,M,9,A,7,2,MA2,8,14
5C,SIM,lowland,M,9,A,7,3,MA3,14,3
5C,SIM,lowland,M,9,A,7,4,MA4,9,9
5C,SIM,lowland,M,9,A,7,5,MA5,14,5
5C,SIM,lowland,M,9,A,7,6,MA6,11,4
5C,SIM,lowland,M,9,A,7,7,MA7,10,12
5C,PSA,widespread,M,9,A,8,1,MA1,4,33
5C,PSA,widespread,M,9,A,8,2,MA2,4,25
5C,PSA,widespread,M,9,A,8,3,MA3,4,38
5C,PSA,widespread,M,9,A,8,4,MA4,4,25
5C,PSA,widespread,M,9,A,8,5,MA5,4,26
5C,PSA,widespread,M,9,A,8,6,MA6,4,26
5C,PSA,widespread,M,9,A,8,7,MA7,8,26
5C,BUN,lowland,M,9,A,9,1,MA1,7,28
5C,BUN,lowland,M,9,A,9,2,MA2,6,40
5C,BUN,lowland,M,9,A,9,3,MA3,5,21
5C,BUN,lowland,M,9,A,9,4,MA4,5,20
5C,BUN,lowland,M,9,A,9,5,MA5,4,39
5C,BUN,lowland,M,9,A,9,6,MA6,4,32
5C,BUN,lowland,M,9,A,9,7,MA7,4,46
5C,bir,widespread,M,9,B,1,1,MB1,5,22
5C,bir,widespread,M,9,B,1,2,MB2,5,21
5C,bir,widespread,M,9,B,1,3,MB3,5,22
5C,bir,widespread,M,9,B,1,4,MB4,5,28
5C,bir,widespread,M,9,B,1,5,MB5,6,28
5C,bir,widespread,M,9,B,1,6,MB6,6,20
5C,bir,widespread,M,9,B,1,7,MB7,5,14
5C,PSA,widespread,M,9,B,2,1,MB1,5,14
5C,PSA,widespread,M,9,B,2,2,MB2,4,32
5C,PSA,widespread,M,9,B,2,3,MB3,5,16
5C,PSA,widespread,M,9,B,2,4,MB4,5,37
5C,PSA,widespread,M,9,B,2,5,MB5,5,37
5C,PSA,widespread,M,9,B,2,6,MB6,5,30
5C,PSA,widespread,M,9,B,2,7,MB7,4,34
5C,BUN,lowland,M,9,B,3,1,MB1,5,18
5C,BUN,lowland,M,9,B,3,2,MB2,6,18
5C,BUN,lowland,M,9,B,3,3,MB3,6,18
5C,BUN,lowland,M,9,B,3,4,MB4,4,14
5C,BUN,lowland,M,9,B,3,5,MB5,5,14
5C,BUN,lowland,M,9,B,3,6,MB6,5,16
5C,BUN,lowland,M,9,B,3,7,MB7,5,14
5C,SUL,widespread,M,9,B,4,1,MB1,6,21
5C,SUL,widespread,M,9,B,4,2,MB2,6,17
5C,SUL,widespread,M,9,B,4,3,MB3,5,19
5C,SUL,widespread,M,9,B,4,4,MB4,6,18
5C,SUL,widespread,M,9,B,4,5,MB5,5,17
5C,SUL,widespread,M,9,B,4,6,MB6,4,19
5C,SUL,widespread,M,9,B,4,7,MB7,4,31
5C,MEL,control,M,9,B,5,1,MB1,16,3
5C,MEL,control,M,9,B,5,2,MB2,11,4
5C,MEL,control,M,9,B,5,3,MB3,16,3
5C,MEL,control,M,9,B,5,4,MB4,11,3
5C,MEL,control,M,9,B,5,5,MB5,14,5
5C,MEL,control,M,9,B,5,6,MB6,11,4
5C,MEL,control,M,9,B,5,7,MB7,12,3
5C,PAL,highland,M,9,B,6,1,MB1,5,42
5C,PAL,highland,M,9,B,6,2,MB2,5,29
5C,PAL,highland,M,9,B,6,3,MB3,5,41
5C,PAL,highland,M,9,B,6,4,MB4,5,28
5C,PAL,highland,M,9,B,6,5,MB5,6,35
5C,PAL,highland,M,9,B,6,6,MB6,6,37
5C,PAL,highland,M,9,B,6,7,MB7,6,35
