treatment,species,distribution,gender,age,round,position,order,rep,kd.t
40C,bir,widespread,F,9,A,1,1,FA1,17
40C,bir,widespread,F,9,A,1,2,FA2,18
40C,bir,widespread,F,9,A,1,3,FA3,18
40C,bir,widespread,F,9,A,1,4,FA4,15
40C,bir,widespread,F,9,A,1,5,FA5,16
40C,bir,widespread,F,9,A,1,6,FA6,21
40C,bir,widespread,F,9,A,1,7,FA7,21
40C,PAN,lowland,F,9,A,2,1,FA1,18
40C,PAN,lowland,F,9,A,2,2,FA2,17
40C,PAN,lowland,F,9,A,2,3,FA3,17
40C,PAN,lowland,F,9,A,2,4,FA4,18
40C,PAN,lowland,F,9,A,2,5,FA5,18
40C,PAN,lowland,F,9,A,2,6,FA6,18
40C,PAN,lowland,F,9,A,2,7,FA7,23
40C,BUN,lowland,F,9,A,3,1,FA1,17
40C,BUN,lowland,F,9,A,3,2,FA2,20
40C,BUN,lowland,F,9,A,3,3,FA3,16
40C,BUN,lowland,F,9,A,3,4,FA4,19
40C,BUN,lowland,F,9,A,3,5,FA5,16
40C,BUN,lowland,F,9,A,3,6,FA6,15
40C,BUN,lowland,F,9,A,3,7,FA7,13
40C,MEL,control,F,9,A,4,1,FA1,29
40C,MEL,control,F,9,A,4,2,FA2,29
40C,MEL,control,F,9,A,4,3,FA3,23
40C,MEL,control,F,9,A,4,4,FA4,24
40C,MEL,control,F,9,A,4,5,FA5,28
40C,MEL,control,F,9,A,4,6,FA6,27
40C,MEL,control,F,9,A,4,7,FA7,28
40C,BIP,lowland,F,9,A,5,1,FA1,21
40C,BIP,lowland,F,9,A,5,2,FA2,21
40C,BIP,lowland,F,9,A,5,3,FA3,18
40C,BIP,lowland,F,9,A,5,4,FA4,18
40C,BIP,lowland,F,9,A,5,5,FA5,22
40C,BIP,lowland,F,9,A,5,6,FA6,26
40C,BIP,lowland,F,9,A,5,7,FA7,18
40C,PAL,highland,F,9,A,6,1,FA1,13
40C,PAL,highland,F,9,A,6,2,FA2,13
40C,PAL,highland,F,9,A,6,3,FA3,13
40C,PAL,highland,F,9,A,6,4,FA4,14
