vialID,week,treatment,block,intra,species,rep,count.type,count
1,13,COLD,A,TRUE,pandora,1,survival,471
1,13,COLD,A,TRUE,pandora,1,reproduction,77
2,13,COLD,A,TRUE,pandora,2,survival,530
2,13,COLD,A,TRUE,pandora,2,reproduction,127
3,13,COLD,A,TRUE,pallidifrons,1,survival,114
3,13,COLD,A,TRUE,pallidifrons,1,reproduction,101
4,13,COLD,A,TRUE,pallidifrons,2,survival,136
4,13,COLD,A,TRUE,pallidifrons,2,reproduction,51
5,13,COLD,A,FALSE,pandora,1,survival,83
5,13,COLD,A,FALSE,pandora,1,reproduction,20
5,13,COLD,A,FALSE,pallidifrons,1,survival,85
5,13,COLD,A,FALSE,pallidifrons,1,reproduction,37
6,13,COLD,A,FALSE,pandora,2,survival,121
6,13,COLD,A,FALSE,pandora,2,reproduction,22
6,13,COLD,A,FALSE,pallidifrons,2,survival,102
6,13,COLD,A,FALSE,pallidifrons,2,reproduction,67
7,13,COLD,A,FALSE,pandora,3,survival,98
7,13,COLD,A,FALSE,pandora,3,reproduction,29
7,13,COLD,A,FALSE,pallidifrons,3,survival,66
7,13,COLD,A,FALSE,pallidifrons,3,reproduction,45
8,13,COLD,A,FALSE,pandora,4,survival,141
8,13,COLD,A,FALSE,pandora,4,reproduction,40
8,13,COLD,A,FALSE,pallidifrons,4,survival,61
8,13,COLD,A,FALSE,pallidifrons,4,reproduction,93
9,13,HOT,A,TRUE,pandora,1,survival,419
9,13,HOT,A,TRUE,pandora,1,reproduction,190
10,13,HOT,A,TRUE,pandora,2,survival,584
10,13,HOT,A,TRUE,pandora,2,reproduction,170
11,13,HOT,A,TRUE,pallidifrons,1,survival,0
11,13,HOT,A,TRUE,pallidifrons,1,reproduction,0
12,13,HOT,A,TRUE,pallidifrons,2,survival,0
12,13,HOT,A,TRUE,pallidifrons,2,reproduction,0
13,13,HOT,A,FALSE,pandora,1,survival,270
13,13,HOT,A,FALSE,pandora,1,reproduction,244
13,13,HOT,A,FALSE,pallidifrons,1,survival,0
13,13,HOT,A,FALSE,pallidifrons,1,reproduction,0
14,13,HOT,A,FALSE,pandora,2,survival,409
14,13,HOT,A,FALSE,pandora,2,reproduction,180
14,13,HOT,A,FALSE,pallidifrons,2,survival,0
14,13,HOT,A,FALSE,pallidifrons,2,reproduction,0
15,13,HOT,A,FALSE,pandora,3,survival,402
15,13,HOT,A,FALSE,pandora,3,reproduction,236
15,13,HOT,A,FALSE,pallidifrons,3,survival,0
15,13,HOT,A,FALSE,pallidifrons,3,reproduction,0
16,13,HOT,A,FALSE,pandora,4,survival,459
16,13,HOT,A,FALSE,pandora,4,reproduction,176
16,13,HOT,A,FALSE,pallidifrons,4,survival,0
16,13,HOT,A,FALSE,pallidifrons,4,reproduction,0
17,13,COLD,B,TRUE,pandora,3,survival,570
17,13,COLD,B,TRUE,pandora,3,reproduction,144
18,13,COLD,B,TRUE,pandora,4,survival,552
18,13,COLD,B,TRUE,pandora,4,reproduction,137
19,13,COLD,B,TRUE,pallidifrons,3,survival,137
19,13,COLD,B,TRUE,pallidifrons,3,reproduction,78
20,13,COLD,B,TRUE,pallidifrons,4,survival,102
20,13,COLD,B,TRUE,pallidifrons,4,reproduction,40
21,13,COLD,B,FALSE,pandora,5,survival,102
21,13,COLD,B,FALSE,pandora,5,reproduction,20
21,13,COLD,B,FALSE,pallidifrons,5,survival,87
21,13,COLD,B,FALSE,pallidifrons,5,reproduction,41
22,13,COLD,B,FALSE,pandora,6,survival,154
22,13,COLD,B,FALSE,pandora,6,reproduction,22
22,13,COLD,B,FALSE,pallidifrons,6,survival,73
22,13,COLD,B,FALSE,pallidifrons,6,reproduction,39
23,13,COLD,B,FALSE,pandora,7,survival,89
23,13,COLD,B,FALSE,pandora,7,reproduction,19
23,13,COLD,B,FALSE,pallidifrons,7,survival,111
23,13,COLD,B,FALSE,pallidifrons,7,reproduction,49
24,13,COLD,B,FALSE,pandora,8,survival,104
24,13,COLD,B,FALSE,pandora,8,reproduction,34
24,13,COLD,B,FALSE,pallidifrons,8,survival,97
24,13,COLD,B,FALSE,pallidifrons,8,reproduction,53
25,13,HOT,B,TRUE,pandora,3,survival,418
25,13,HOT,B,TRUE,pandora,3,reproduction,125
26,13,HOT,B,TRUE,pandora,4,survival,430
26,13,HOT,B,TRUE,pandora,4,reproduction,108
27,13,HOT,B,TRUE,pallidifrons,3,survival,0
27,13,HOT,B,TRUE,pallidifrons,3,reproduction,0
28,13,HOT,B,TRUE,pallidifrons,4,survival,2
28,13,HOT,B,TRUE,pallidifrons,4,reproduction,0
29,13,HOT,B,FALSE,pandora,5,survival,474
29,13,HOT,B,FALSE,pandora,5,reproduction,83
29,13,HOT,B,FALSE,pallidifrons,5,survival,0
29,13,HOT,B,FALSE,pallidifrons,5,reproduction,0
30,13,HOT,B,FALSE,pandora,6,survival,412
30,13,HOT,B,FALSE,pandora,6,reproduction,71
30,13,HOT,B,FALSE,pallidifrons,6,survival,0
30,13,HOT,B,FALSE,pallidifrons,6,reproduction,0
31,13,HOT,B,FALSE,pandora,7,survival,410
31,13,HOT,B,FALSE,pandora,7,reproduction,58
31,13,HOT,B,FALSE,pallidifrons,7,survival,0
31,13,HOT,B,FALSE,pallidifrons,7,reproduction,0
32,13,HOT,B,FALSE,pandora,8,survival,417
32,13,HOT,B,FALSE,pandora,8,reproduction,83
32,13,HOT,B,FALSE,pallidifrons,8,survival,0
32,13,HOT,B,FALSE,pallidifrons,8,reproduction,0
