tubeID,type,temp,block,replicate,tray,pair,i,j,densityT,FocalSp,i.ind,FocalSp_Den,OtherSp,j.ind,OtherSp_Den,obs_count
651,intra,COLD,COLDA,COLDA1,HOT_T2,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,37
652,intra,COLD,COLDA,COLDA1,HOT_T2,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,90
653,intra,COLD,COLDA,COLDA1,HOT_T2,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,116
654,intra,COLD,COLDA,COLDA2,HOT_T2,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,38
655,intra,COLD,COLDA,COLDA2,HOT_T2,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,57
656,intra,COLD,COLDA,COLDA2,HOT_T2,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,91
657,intra,COLD,COLDA,COLDA3,HOT_T2,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,27
658,intra,COLD,COLDA,COLDA3,HOT_T2,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,58
659,intra,COLD,COLDA,COLDA3,HOT_T2,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,114
660,intra,COLD,COLDB,COLDB4,HOT_T4,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,57
661,intra,COLD,COLDB,COLDB4,HOT_T4,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,68
662,intra,COLD,COLDB,COLDB4,HOT_T4,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,130
663,intra,COLD,COLDB,COLDB5,HOT_T4,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,29
664,intra,COLD,COLDB,COLDB5,HOT_T4,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,59
665,intra,COLD,COLDB,COLDB5,HOT_T4,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,107
666,intra,COLD,COLDB,COLDB6,HOT_T4,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,48
667,intra,COLD,COLDB,COLDB6,HOT_T4,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,62
668,intra,COLD,COLDB,COLDB6,HOT_T4,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,137
669,intra,COLD,COLDB,COLDB7,HOT_T4,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,35
670,intra,COLD,COLDB,COLDB7,HOT_T4,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,51
