tubeID,type,temp,block,replicate,tray,pair,i,j,densityT,FocalSp,i.ind,FocalSp_Den,OtherSp,j.ind,OtherSp_Den,obs_count
501,intra,HOT,HOTA,HOTA1,HOT_T2,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,56
502,intra,HOT,HOTA,HOTA1,HOT_T2,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,99
503,intra,HOT,HOTA,HOTA1,HOT_T2,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,153
504,intra,HOT,HOTA,HOTA2,HOT_T2,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,49
505,intra,HOT,HOTA,HOTA2,HOT_T2,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,40
506,intra,HOT,HOTA,HOTA2,HOT_T2,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,134
507,intra,HOT,HOTA,HOTA3,HOT_T2,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,52
508,intra,HOT,HOTA,HOTA3,HOT_T2,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,84
509,intra,HOT,HOTA,HOTA3,HOT_T2,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,125
510,intra,HOT,HOTB,HOTB4,HOT_T4,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,63
511,intra,HOT,HOTB,HOTB4,HOT_T4,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,75
512,intra,HOT,HOTB,HOTB4,HOT_T4,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,181
513,intra,HOT,HOTB,HOTB5,HOT_T4,PAN_NaN,PAN,NaN,i2j0,PAN,3,4,NA,0,0,50
514,intra,HOT,HOTB,HOTB5,HOT_T4,PAN_NaN,PAN,NaN,i4j0,PAN,3,8,NA,0,0,84
515,intra,HOT,HOTB,HOTB5,HOT_T4,PAN_NaN,PAN,NaN,i8j0,PAN,3,16,NA,0,0,112
